Survived,PassengerId,Pclass_age,Relatives_age,Weight_age
0,1,18.0,6.0,6.0
1,2,10.0,10.0,10.0
1,3,6.0,0.0,2.0
1,4,7.0,7.0,7.0
0,5,21.0,0.0,7.0
0,6,3.0,0.0,1.0
0,7,26.0,0.0,26.0
0,8,78.0,104.0,26.0
1,9,3.0,2.0,1.0
1,10,28.0,14.0,14.0
1,11,72.0,48.0,24.0
1,12,30.0,0.0,30.0
0,13,24.0,0.0,8.0
0,14,33.0,66.0,11.0
0,15,42.0,0.0,14.0
1,16,54.0,0.0,27.0
0,17,78.0,130.0,26.0
1,18,2.0,0.0,1.0
0,19,9.0,3.0,3.0
1,20,3.0,0.0,1.0
0,21,14.0,0.0,7.0
1,22,12.0,0.0,6.0
1,23,39.0,0.0,13.0
1,24,0.0,0.0,0.0
0,25,60.0,80.0,20.0
1,26,30.0,60.0,10.0
0,27,3.0,0.0,1.0
0,28,9.0,45.0,9.0
1,29,3.0,0.0,1.0
0,30,3.0,0.0,1.0
0,31,12.0,0.0,12.0
1,32,1.0,1.0,1.0
1,33,3.0,0.0,1.0
0,34,76.0,0.0,38.0
0,35,0.0,0.0,0.0
0,36,14.0,14.0,14.0
1,37,3.0,0.0,1.0
0,38,21.0,0.0,7.0
0,39,30.0,20.0,10.0
1,40,42.0,14.0,14.0
0,41,36.0,12.0,12.0
0,42,2.0,1.0,1.0
0,43,3.0,0.0,1.0
1,44,50.0,75.0,25.0
1,45,27.0,0.0,9.0
0,46,3.0,0.0,1.0
0,47,3.0,1.0,1.0
1,48,3.0,0.0,1.0
0,49,3.0,2.0,1.0
0,50,30.0,10.0,10.0
0,51,63.0,105.0,21.0
0,52,21.0,0.0,7.0
1,53,21.0,21.0,21.0
1,54,2.0,1.0,1.0
0,55,37.0,37.0,37.0
1,56,1.0,0.0,1.0
1,57,14.0,0.0,7.0
0,58,1.5,0.0,0.5
1,59,46.0,69.0,23.0
0,60,51.0,119.0,17.0
0,61,18.0,0.0,6.0
1,62,10.0,0.0,10.0
0,63,17.0,17.0,17.0
0,64,72.0,120.0,24.0
0,65,1.0,0.0,1.0
1,66,3.0,2.0,1.0
1,67,2.0,0.0,1.0
0,68,27.0,0.0,9.0
1,69,33.0,66.0,11.0
0,70,6.0,4.0,2.0
0,71,8.0,0.0,4.0
0,72,36.0,84.0,12.0
0,73,14.0,0.0,7.0
0,74,6.0,2.0,2.0
1,75,12.0,0.0,4.0
0,76,9.0,0.0,3.0
0,77,3.0,0.0,1.0
0,78,3.0,0.0,1.0
1,79,54.34,54.34,27.17
1,80,6.0,0.0,2.0
0,81,18.0,0.0,6.0
1,82,3.0,0.0,1.0
1,83,3.0,0.0,1.0
0,84,0.0,0.0,0.0
1,85,22.0,0.0,11.0
1,86,15.0,15.0,5.0
0,87,36.0,48.0,12.0
0,88,3.0,0.0,1.0
1,89,5.0,25.0,5.0
0,90,12.0,0.0,4.0
0,91,3.0,0.0,1.0
0,92,24.0,0.0,8.0
0,93,18.0,18.0,18.0
0,94,6.0,6.0,2.0
0,95,93.0,0.0,31.0
0,96,3.0,0.0,1.0
0,97,43.0,0.0,43.0
1,98,5.0,5.0,5.0
1,99,12.0,6.0,6.0
0,100,12.0,6.0,6.0
0,101,0.0,0.0,0.0
0,102,3.0,0.0,1.0
0,103,7.0,7.0,7.0
0,104,15.0,0.0,5.0
0,105,27.0,18.0,9.0
0,106,0.0,0.0,0.0
1,107,21.0,0.0,7.0
1,108,3.0,0.0,1.0
0,109,30.0,0.0,10.0
1,110,3.0,1.0,1.0
0,111,19.0,0.0,19.0
0,112,40.5,13.5,13.5
0,113,18.0,0.0,6.0
0,114,24.0,8.0,8.0
0,115,33.0,0.0,11.0
0,116,21.0,0.0,7.0
0,117,127.5,0.0,42.5
0,118,2.0,1.0,1.0
0,119,4.0,4.0,4.0
0,120,78.0,156.0,26.0
0,121,14.0,14.0,7.0
0,122,3.0,0.0,1.0
0,123,9.0,4.5,4.5
1,124,9.0,0.0,4.5
0,125,26.0,26.0,26.0
1,126,48.0,16.0,16.0
0,127,3.0,0.0,1.0
1,128,12.0,0.0,4.0
1,129,3.0,2.0,1.0
0,130,51.0,0.0,17.0
0,131,15.0,0.0,5.0
0,132,24.0,0.0,8.0
0,133,57.0,19.0,19.0
1,134,2.0,1.0,1.0
0,135,6.0,0.0,3.0
0,136,10.0,0.0,5.0
1,137,9.0,18.0,9.0
0,138,9.0,9.0,9.0
