Survived,PassengerId,Pclass_age,Relatives_age,Weight_age
0,1,48.0,16.0,16.0
1,2,0.0,0.0,0.0
1,3,36.0,0.0,12.0
1,4,3.0,3.0,3.0
0,5,9.0,0.0,3.0
0,6,27.0,0.0,9.0
0,7,16.0,0.0,16.0
0,8,108.0,144.0,36.0
1,9,33.0,22.0,11.0
1,10,48.0,24.0,24.0
1,11,102.0,68.0,34.0
1,12,20.0,0.0,20.0
0,13,54.0,0.0,18.0
0,14,3.0,6.0,1.0
0,15,72.0,0.0,24.0
1,16,34.0,0.0,17.0
0,17,108.0,180.0,36.0
1,18,18.0,0.0,9.0
0,19,21.0,7.0,7.0
1,20,27.0,0.0,9.0
0,21,6.0,0.0,3.0
1,22,8.0,0.0,4.0
1,23,69.0,0.0,23.0
1,24,10.0,0.0,10.0
0,25,90.0,120.0,30.0
1,26,0.0,0.0,0.0
0,27,27.0,0.0,9.0
0,28,19.0,95.0,19.0
1,29,27.0,0.0,9.0
0,30,27.0,0.0,9.0
0,31,2.0,0.0,2.0
1,32,9.0,9.0,9.0
1,33,27.0,0.0,9.0
0,34,56.0,0.0,28.0
0,35,10.0,10.0,10.0
0,36,4.0,4.0,4.0
1,37,27.0,0.0,9.0
0,38,51.0,0.0,17.0
0,39,60.0,40.0,20.0
1,40,72.0,24.0,24.0
0,41,6.0,2.0,2.0
0,42,22.0,11.0,11.0
0,43,27.0,0.0,9.0
1,44,70.0,105.0,35.0
1,45,57.0,0.0,19.0
0,46,27.0,0.0,9.0
0,47,27.0,9.0,9.0
1,48,27.0,0.0,9.0
0,49,27.0,18.0,9.0
0,50,60.0,20.0,20.0
0,51,93.0,155.0,31.0
0,52,51.0,0.0,17.0
1,53,11.0,11.0,11.0
1,54,18.0,9.0,9.0
0,55,27.0,27.0,27.0
1,56,9.0,0.0,9.0
1,57,34.0,0.0,17.0
0,58,28.5,0.0,9.5
1,59,66.0,99.0,33.0
0,60,81.0,189.0,27.0
0,61,48.0,0.0,16.0
1,62,0.0,0.0,0.0
0,63,7.0,7.0,7.0
0,64,102.0,170.0,34.0
0,65,9.0,0.0,9.0
1,66,27.0,18.0,9.0
1,67,18.0,0.0,9.0
0,68,57.0,0.0,19.0
1,69,63.0,126.0,21.0
0,70,36.0,24.0,12.0
0,71,12.0,0.0,6.0
0,72,66.0,154.0,22.0
0,73,34.0,0.0,17.0
0,74,36.0,12.0,12.0
1,75,18.0,0.0,6.0
0,76,39.0,0.0,13.0
0,77,27.0,0.0,9.0
0,78,27.0,0.0,9.0
1,79,74.34,74.34,37.17
1,80,24.0,0.0,8.0
0,81,48.0,0.0,16.0
1,82,27.0,0.0,9.0
1,83,27.0,0.0,9.0
0,84,10.0,0.0,10.0
1,85,42.0,0.0,21.0
1,86,15.0,15.0,5.0
0,87,66.0,88.0,22.0
0,88,27.0,0.0,9.0
1,89,15.0,75.0,15.0
0,90,42.0,0.0,14.0
0,91,27.0,0.0,9.0
0,92,54.0,0.0,18.0
0,93,8.0,8.0,8.0
0,94,36.0,36.0,12.0
0,95,63.0,0.0,21.0
0,96,27.0,0.0,9.0
0,97,33.0,0.0,33.0
1,98,15.0,15.0,15.0
1,99,8.0,4.0,4.0
0,100,8.0,4.0,4.0
0,101,30.0,0.0,10.0
0,102,27.0,0.0,9.0
0,103,17.0,17.0,17.0
0,104,15.0,0.0,5.0
0,105,3.0,2.0,1.0
0,106,30.0,0.0,10.0
1,107,51.0,0.0,17.0
1,108,27.0,0.0,9.0
0,109,0.0,0.0,0.0
1,110,27.0,9.0,9.0
0,111,9.0,0.0,9.0
0,112,70.5,23.5,23.5
0,113,48.0,0.0,16.0
0,114,54.0,18.0,18.0
0,115,63.0,0.0,21.0
0,116,51.0,0.0,17.0
0,117,97.5,0.0,32.5
0,118,18.0,9.0,9.0
0,119,14.0,14.0,14.0
0,120,108.0,216.0,36.0
0,121,34.0,34.0,17.0
0,122,27.0,0.0,9.0
0,123,11.0,5.5,5.5
1,124,11.0,0.0,5.5
0,125,16.0,16.0,16.0
1,126,78.0,26.0,26.0
0,127,27.0,0.0,9.0
1,128,42.0,0.0,14.0
1,129,27.0,18.0,9.0
0,130,21.0,0.0,7.0
0,131,15.0,0.0,5.0
0,132,54.0,0.0,18.0
0,133,27.0,9.0,9.0
1,134,18.0,9.0,9.0
0,135,26.0,0.0,13.0
0,136,30.0,0.0,15.0
1,137,19.0,38.0,19.0
0,138,1.0,1.0,1.0
0,139,66.0,0.0,22.0
0,140,14.0,0.0,14.0
0,141,27.0,18.0,9.0
1,142,48.0,0.0,16.0
1,143,42.0,14.0,14.0
0,144,57.0,0.0,19.0
0,145,40.0,0.0,20.0
0,146,38.0,38.0,19.0
1,147,33.0,0.0,11.0
0,148,87.0,116.0,29.0
0,149,3.0,3.0,1.5
0,150,8.0,0.0,4.0
0,151,26.0,0.0,13.0
1,152,16.0,16.0,16.0
0,153,52.5,0.0,17.5
0,154,7.5,5.0,2.5
0,155,27.0,0.0,9.0
0,156,13.0,13.0,13.0
1,157,66.0,0.0,22.0
0,158,24.0,0.0,8.0
0,159,27.0,0.0,9.0
0,160,27.0,90.0,9.0
0,161,18.0,6.0,6.0
1,162,4.0,0.0,2.0
0,163,36.0,0.0,12.0
0,164,63.0,0.0,21.0
0,165,111.0,185.0,37.0
1,166,87.0,58.0,29.0
1,167,9.0,9.0,9.0
0,168,21.0,35.0,7.0
