Survived,PassengerId,Pclass,Sex,Age,Relatives
0,1,3,0,22.0,1
1,2,1,1,38.0,1
1,3,3,1,26.0,0
1,4,1,1,35.0,1
0,5,3,0,35.0,0
0,6,3,0,29.0,0
0,7,1,0,54.0,0
0,8,3,0,2.0,4
1,9,3,1,27.0,2
1,10,2,1,14.0,1
1,11,3,1,4.0,2
1,12,1,1,58.0,0
0,13,3,0,20.0,0
0,14,3,0,39.0,6
0,15,3,1,14.0,0
1,16,2,1,55.0,0
0,17,3,0,2.0,5
1,18,2,0,29.0,0
0,19,3,1,31.0,1
1,20,3,1,29.0,0
0,21,2,0,35.0,0
1,22,2,0,34.0,0
1,23,3,1,15.0,0
1,24,1,0,28.0,0
0,25,3,1,8.0,4
1,26,3,1,38.0,6
0,27,3,0,29.0,0
0,28,1,0,19.0,5
1,29,3,1,29.0,0
0,30,3,0,29.0,0
0,31,1,0,40.0,0
1,32,1,1,29.0,1
1,33,3,1,29.0,0
0,34,2,0,66.0,0
0,35,1,0,28.0,1
0,36,1,0,42.0,1
1,37,3,0,29.0,0
0,38,3,0,21.0,0
0,39,3,1,18.0,2
1,40,3,1,14.0,1
0,41,3,1,40.0,1
0,42,2,1,27.0,1
0,43,3,0,29.0,0
1,44,2,1,3.0,3
1,45,3,1,19.0,0
0,46,3,0,29.0,0
0,47,3,0,29.0,1
1,48,3,1,29.0,0
0,49,3,0,29.0,2
0,50,3,1,18.0,1
0,51,3,0,7.0,5
0,52,3,0,21.0,0
1,53,1,1,49.0,1
1,54,2,1,29.0,1
0,55,1,0,65.0,1
1,56,1,0,29.0,0
1,57,2,1,21.0,0
0,58,3,0,28.5,0
1,59,2,1,5.0,3
0,60,3,0,11.0,7
0,61,3,0,22.0,0
1,62,1,1,38.0,0
0,63,1,0,45.0,1
0,64,3,0,4.0,5
0,65,1,0,29.0,0
1,66,3,0,29.0,2
1,67,2,1,29.0,0
0,68,3,0,19.0,0
1,69,3,1,17.0,6
0,70,3,0,26.0,2
0,71,2,0,32.0,0
0,72,3,1,16.0,7
0,73,2,0,21.0,0
0,74,3,0,26.0,1
1,75,3,0,32.0,0
0,76,3,0,25.0,0
0,77,3,0,29.0,0
0,78,3,0,29.0,0
1,79,2,0,0.83,2
1,80,3,1,30.0,0
0,81,3,0,22.0,0
1,82,3,0,29.0,0
1,83,3,1,29.0,0
0,84,1,0,28.0,0
1,85,2,1,17.0,0
1,86,3,1,33.0,3
0,87,3,0,16.0,4
0,88,3,0,29.0,0
1,89,1,1,23.0,5
0,90,3,0,24.0,0
0,91,3,0,29.0,0
0,92,3,0,20.0,0
0,93,1,0,46.0,1
0,94,3,0,26.0,3
0,95,3,0,59.0,0
0,96,3,0,29.0,0
0,97,1,0,71.0,0
1,98,1,0,23.0,1
1,99,2,1,34.0,1
0,100,2,0,34.0,1
0,101,3,1,28.0,0
0,102,3,0,29.0,0
0,103,1,0,21.0,1
0,104,3,0,33.0,0
0,105,3,0,37.0,2
0,106,3,0,28.0,0
1,107,3,1,21.0,0
1,108,3,0,29.0,0
0,109,3,0,38.0,0
1,110,3,1,29.0,1
0,111,1,0,47.0,0
0,112,3,1,14.5,1
0,113,3,0,22.0,0
0,114,3,1,20.0,1
0,115,3,1,17.0,0
0,116,3,0,21.0,0
0,117,3,0,70.5,0
0,118,2,0,29.0,1
0,119,1,0,24.0,1
0,120,3,1,2.0,6
0,121,2,0,21.0,2
0,122,3,0,29.0,0
0,123,2,0,32.5,1
1,124,2,1,32.5,0
0,125,1,0,54.0,1
1,126,3,0,12.0,1
0,127,3,0,29.0,0
1,128,3,0,24.0,0
1,129,3,1,29.0,2
0,130,3,0,45.0,0
0,131,3,0,33.0,0
0,132,3,0,20.0,0
0,133,3,1,47.0,1
1,134,2,1,29.0,1
0,135,2,0,25.0,0
0,136,2,0,23.0,0
1,137,1,1,19.0,2
0,138,1,0,37.0,1
0,139,3,0,16.0,0
0,140,1,0,24.0,0
